# wavelength transmission
0.345 0.0000
0.346 0.0003
0.347 0.0006
0.348 0.0012
0.349 0.0022
0.350 0.004
0.351 0.0066
0.352 0.0104
0.353 0.0156
0.354 0.0225
0.355 0.0312
0.356 0.0418
0.357 0.0542
0.358 0.0687
0.359 0.0848
0.360 0.1029
0.361 0.1221
0.362 0.1422
0.363 0.1632
0.364 0.1847
0.365 0.2064
0.366 0.2283
0.367 0.2498
0.368 0.2717
0.369 0.2931
0.370 0.3142
0.371 0.3349
0.372 0.3546
0.373 0.3737
0.374 0.392
0.375 0.41
0.376 0.427
0.377 0.4434
0.378 0.46
0.379 0.4771
0.380 0.492
0.381 0.5063
0.382 0.5197
0.383 0.5327
0.384 0.545
0.385 0.5568
0.386 0.5678
0.387 0.5781
0.388 0.5882
0.389 0.5979
0.390 0.607
0.391 0.6156
0.392 0.6235
0.393 0.6309
0.394 0.6376
0.395 0.6437
0.396 0.6494
0.397 0.6543
0.398 0.659
0.399 0.6632
0.400 0.6672
0.401 0.6705
0.402 0.6738
0.403 0.6768
0.404 0.6794
0.405 0.6819
0.406 0.6838
0.407 0.6859
0.408 0.6878
0.409 0.689
0.410 0.6901
0.411 0.6912
0.412 0.6914
0.413 0.6915
0.414 0.6921
0.415 0.6921
0.416 0.6923
0.417 0.6923
0.418 0.6924
0.419 0.6923
0.420 0.6919
0.421 0.691
0.422 0.6893
0.423 0.6876
0.424 0.685
0.425 0.682
0.426 0.6791
0.427 0.6768
0.428 0.6743
0.429 0.6716
0.430 0.6684
0.431 0.6651
0.432 0.6615
0.433 0.6578
0.434 0.6539
0.435 0.6499
0.436 0.6462
0.437 0.6426
0.438 0.6385
0.439 0.6347
0.440 0.6305
0.441 0.6265
0.442 0.622
0.443 0.6171
0.444 0.6115
0.445 0.6057
0.446 0.5995
0.447 0.5926
0.448 0.5854
0.449 0.5783
0.450 0.5709
0.451 0.5637
0.452 0.5568
0.453 0.55
0.454 0.5429
0.455 0.5354
0.456 0.5275
0.457 0.5191
0.458 0.5101
0.459 0.5005
0.460 0.4903
0.461 0.4795
0.462 0.4681
0.463 0.4559
0.464 0.4431
0.465 0.4295
0.466 0.4149
0.467 0.3996
0.468 0.3836
0.469 0.3669
0.470 0.3499
0.471 0.3331
0.472 0.3164
0.473 0.3
0.474 0.2839
0.475 0.268
0.476 0.2526
0.477 0.2373
0.478 0.2223
0.479 0.2075
0.480 0.1929
0.481 0.1787
0.482 0.1651
0.483 0.1523
0.484 0.1402
0.485 0.1286
0.486 0.1179
0.487 0.1079
0.488 0.0986
0.489 0.0899
0.490 0.0821
0.491 0.0748
0.492 0.0683
0.493 0.0625
0.494 0.0573
0.495 0.0526
0.496 0.0484
0.497 0.0446
0.498 0.041
0.499 0.0376
0.500 0.0344
0.501 0.0311
0.502 0.0279
0.503 0.0248
0.504 0.0219
0.505 0.0192
0.506 0.0166
0.507 0.0145
0.508 0.0126
0.509 0.0109
0.510 0.0095
0.511 0.0082
0.512 0.0072
0.513 0.0062
0.514 0.0054
0.515 0.0046
0.516 0.004
0.517 0.0034
0.518 0.0028
0.519 0.0024
0.520 0.002
0.521 0.0017
0.522 0.0014
0.523 0.0012
0.524 0.0009
0.525 0.0008
0.526 0.0006
0.527 0.0005
0.528 0.0004
0.529 0.0004
0.530 0.0004
0.531 0.0003
0.532 0.0002
0.533 0.0002
0.534 0.0002
0.535 0.0002
0.536 0.0002
0.537 0.0002
0.538 0.0001
0.539 0.0002
0.540 0.0001
0.541 0.0001
0.542 0.0001
0.543 0.0001
0.544 0.0000

