# wavelength transmission
0.312 0.0
0.313 0.0021
0.314 0.0045
0.315 0.0088
0.316 0.0144
0.317 0.0194
0.318 0.0238
0.319 0.0296
0.320 0.0401
0.321 0.0566
0.322 0.0781
0.323 0.1014
0.324 0.1224
0.325 0.1402
0.326 0.1569
0.327 0.1757
0.328 0.198
0.329 0.2211
0.330 0.2391
0.331 0.2482
0.332 0.2516
0.333 0.2572
0.334 0.2714
0.335 0.2948
0.336 0.322
0.337 0.3436
0.338 0.354
0.339 0.3575
0.340 0.3652
0.341 0.3838
0.342 0.4124
0.343 0.4391
0.344 0.4514
0.345 0.4446
0.346 0.4275
0.347 0.4146
0.348 0.4164
0.349 0.4349
0.350 0.4663
0.351 0.5024
0.352 0.5334
0.353 0.5557
0.354 0.5694
0.355 0.5778
0.356 0.5827
0.357 0.5831
0.358 0.5789
0.359 0.5709
0.360 0.563
0.361 0.5573
0.362 0.555
0.363 0.5536
0.364 0.5481
0.365 0.537
0.366 0.5211
0.367 0.5037
0.368 0.4909
0.369 0.4852
0.370 0.4873
0.371 0.4945
0.372 0.5016
0.373 0.5044
0.374 0.4994
0.375 0.4887
0.376 0.4734
0.377 0.4567
0.378 0.4393
0.379 0.418
0.380 0.3948
0.381 0.3674
0.382 0.3368
0.383 0.305
0.384 0.2735
0.385 0.2439
0.386 0.2166
0.387 0.1902
0.388 0.1636
0.389 0.1375
0.390 0.1119
0.391 0.0889
0.392 0.0694
0.393 0.0535
0.394 0.0408
0.395 0.0308
0.396 0.023
0.397 0.0168
0.398 0.0119
0.399 0.008
0.400 0.0053
0.401 0.0034
0.402 0.0022
0.403 0.0014
0.404 0.0009
0.405 0.0
